wcet,is_bsb_node,is_reconv_node,successors
2395999,False,False,1;2
1495000,False,False,2
1862000,False,True,3;4
44000,False,False,4
199000,False,True,5;6
40000,False,False,6
183000,False,True,7;8
40000,False,False,8
88000,False,True,9;10
255000,False,False,10
493000,False,True,11;12
1626000,False,False,12
0,False,True,
